Code,Entity,Total_Deaths,Total_Cases,Population,Continent,Death_per_mill,Population_Density,Cases_per_mill,Cumulative_Pos_Rate,Total_Tests,GDP_Per_Cap,Resp_Death_Rate,Median_Age,Contact_Tracing,INT_Travel_Controls,Physicians_Per_1000_ppl,Percent_Urbanization,Life_Expectancy,HC_Expenditure_Per_Capita,Stay_Home_Req,Gathering_Restrictions,Internal_Movement_Restrict,Tests_per_mill
CAN,Canada,24220,1228367,37742157,North America,641.723,4.03673422033956,32546.285,3.9,31479292,44018,21.558239606650115,41.400002,0.13496932515337423,0.8425357873210634,2.539,81.3,82.434,4641,0.23517382413087934,0.8323108384458078,0.8384458077709611,0.8340618158098383
CPV,Cape Verde,217,23882,555988,Africa,390.296,135.580148883375,42954.164,-1,-1,6223,20.372153697556932,25.700001,0.6605316973415133,0.4662576687116564,0.788,64.784,72.981,310,0.2392638036809816,0.5030674846625767,0.5132924335378323,-1
CAF,Central African Republic,88,6411,4829764,Africa,18.22,7.47869915567113,1327.394,-1,-1,661,79.17028962034827,18.299999,0.18609406952965235,0.2249488752556237,0.072,40.618,53.283,25,0.1656441717791411,0.0,0.22540983606557377,-1
TCD,Chad,170,4817,16425859,Africa,10.35,11.8329050190597,293.257,-1,-1,1768,51.41897368391248,16.700001,0.49064449064449067,0.3991683991683992,0.044,22.677,54.239,79,0.683991683991684,0.2681912681912682,0.5883575883575883,-1
CHL,Chile,26353,1198245,19116209,South America,1378.568,24.2823792385533,62682.146,9.2,13051622,22767,26.267696350094546,35.400002,0.8176229508196722,0.7827868852459017,2.15,87.422,80.181,1749,0.8278688524590164,0.5471311475409836,0.8278688524590164,0.6827515853169422
CHN,China,4845,102494,1439323774,Asia,3.366,147.674035021156,71.21,-1,-1,15309,62.801436537225065,38.700001,0.9918200408997955,0.8241308793456033,1.812,56.736,76.912,731,0.7259713701431493,0.8752556237218814,0.7811860940695297,-1
COL,Colombia,73720,2859724,50882884,South America,1448.817,44.2231771068049,56202.082,19.400000000000002,14762119,13255,27.872244124116005,32.200001,0.7110655737704918,0.8319672131147541,1.821,80.108,77.287,962,0.5655737704918032,0.44672131147540983,0.5655737704918032,0.29011954196621403
COG,Congo,144,10678,5518092,Africa,26.096,15.404831625183,1935.089,-1,-1,4881,56.9017897874918,19.0,0.014736842105263158,0.32842105263157895,0.095,66.001,64.57,323,0.8168421052631579,0.014736842105263158,0.24210526315789474,-1
CRI,Costa Rica,3231,250991,5094114,North America,634.261,96.0785154719937,49270.786,30.5,821746,15525,27.018502621219323,33.599998,0.3456032719836401,0.4069529652351738,1.15,77.735,80.279,1389,0.0,0.0,0.588957055214724,0.16131284066277277
CIV,Cote d'Ivoire,286,46036,26378275,Africa,10.842,76.3985849056604,1745.224,7.8,594288,3601,42.18600883724382,18.700001,0.520746887966805,0.5643153526970954,0.144,49.881,57.783,187,0.0,0.0,0.23651452282157676,0.022529448949940814
